cluster_id,name_canonical,articles,orcid,institutions,countries,name_variants,first_year,last_year
225,Kerly Joselyna Silva Basantes,1,,,,Kerly Joselyna Silva Basantes,2025,2025
790,"Briones Gavilánez, Beatriz",1,,,,"Briones Gavilánez, Beatriz",2023,2023
791,"Moya Arízaga, Jenny Maribel",1,,,,"Moya Arízaga, Jenny Maribel",2023,2023
795,"Villarreal Chimarro, Dayana Estefanía",1,,,,"Villarreal Chimarro, Dayana Estefanía",2023,2023
797,"Anzúles Céspedes, Josué Miguel",1,,,,"Anzúles Céspedes, Josué Miguel",2023,2023
798,"Jalón Arias, Edmundo José",1,,,,"Jalón Arias, Edmundo José",2023,2023
799,"Freire Lescano, Luis Rafael",1,,,,"Freire Lescano, Luis Rafael",2023,2023
800,"Armijos Briones, Fernando Marcelo",1,,,,"Armijos Briones, Fernando Marcelo",2023,2023
801,"Sánchez Gavilanes, Tamara Nicole",1,,,,"Sánchez Gavilanes, Tamara Nicole",2023,2023
802,"Ortiz Yucailla, Dennise Leonela",1,,,,"Ortiz Yucailla, Dennise Leonela",2023,2023
771,"Sandoval Malquin, Danny Mauricio",1,,,,"Sandoval Malquin, Danny Mauricio",2023,2023
772,"Cacuango Andrango, Myriam Alexandra",1,,,,"Cacuango Andrango, Myriam Alexandra",2023,2023
773,"Vivero García, Alex Omar",1,,,,"Vivero García, Alex Omar",2023,2023
774,"Banda Paredes, Cristian Patricio",1,,,,"Banda Paredes, Cristian Patricio",2023,2023
776,"Solis Chang, Sayne Thaymy",1,,,,"Solis Chang, Sayne Thaymy",2023,2023
777,"Vega Obaco, Bryan Paul",1,,,,"Vega Obaco, Bryan Paul",2023,2023
778,"Morejón Vásquez, Karla Mercedes",1,,,,"Morejón Vásquez, Karla Mercedes",2023,2023
206,Rosa Anahí Castillo Flores,1,,,,Rosa Anahí Castillo Flores,2025,2025
207,Dayana Lizbeth Arequipa Vilca,1,,,,Dayana Lizbeth Arequipa Vilca,2025,2025
208,Joseline Mishell Cuji Suqui,1,,,,Joseline Mishell Cuji Suqui,2025,2025
209,Paola Estefanía Guamán Cargua,1,,,,Paola Estefanía Guamán Cargua,2025,2025
210,Marco Paul Medina Valencia,1,,,,Marco Paul Medina Valencia,2025,2025
179,Kerlhy Lisbeth Malte Puetate,1,,,,Kerlhy Lisbeth Malte Puetate,2025,2025
180,Jonathan Rafael Ortiz Villacis,1,,,,Jonathan Rafael Ortiz Villacis,2025,2025
181,Wilson Hernán Aldaz Calapiña,1,,,,Wilson Hernán Aldaz Calapiña,2025,2025
806,"Maldonado Mariño, Edisson Vladimir",1,,,,"Maldonado Mariño, Edisson Vladimir",2023,2023
807,"Ramos Velastegui, Alexander Javier",1,,,,"Ramos Velastegui, Alexander Javier",2023,2023
811,"Cepeda Miranda, Jorge Luis",1,,,,"Cepeda Miranda, Jorge Luis",2023,2023
815,"Walter Vinicio, Culque Topanta",1,,,,"Walter Vinicio, Culque Topanta",2023,2023
816,"Freddy Patricio, Baño Naranjo",1,,,,"Freddy Patricio, Baño Naranjo",2023,2023
787,"Jurado Carrera, Pablo Danilo",1,,,,"Jurado Carrera, Pablo Danilo",2023,2023
788,"Pomasqui Pomasqui, Cintya Alejandra",1,,,,"Pomasqui Pomasqui, Cintya Alejandra",2023,2023
789,"Álvaro Javierb, Abril Saltos",1,,,,"Álvaro Javierb, Abril Saltos",2023,2023
822,Diana M Pendolema,1,,,,Diana M Pendolema,2023,2023
823,Katherine Estefanía Prieto Izquierdo,1,,,,Katherine Estefanía Prieto Izquierdo,2023,2023
824,Merck Milko Benavides Benalcázar,1,,,,Merck Milko Benavides Benalcázar,2023,2023
832,Carlos Fabián Altamirano Dávila,1,,,,Carlos Fabián Altamirano Dávila,2023,2023
833,Johanna Roció Cabrera Granda,1,,,,Johanna Roció Cabrera Granda,2023,2023
834,Julián Rodolfo Santillán Andrade,1,,,,Julián Rodolfo Santillán Andrade,2023,2023
803,"Condo Santamaria, Dayana Belén",1,,,,"Condo Santamaria, Dayana Belén",2023,2023
804,"Sarabia Solis, Katherine Lizbeth",1,,,,"Sarabia Solis, Katherine Lizbeth",2023,2023
