doi,concept,level,score
10.5281/zenodo.17586163,Operator (biology),5,0.513700008392334
10.5281/zenodo.17586163,Artificial intelligence,1,0.4853000044822693
10.5281/zenodo.17586163,Description logic,2,0.4749999940395355
10.5281/zenodo.17586163,Default logic,5,0.42910000681877136
10.5281/zenodo.17586163,Temporal logic,2,0.42669999599456787
10.5281/zenodo.17586163,Complete information,2,0.4244000017642975
10.5281/zenodo.17586163,Logic model,2,0.3894999921321869
10.5281/zenodo.17586163,Security policy,2,0.38929998874664307
10.5281/zenodo.17586163,Computation tree logic,3,0.359499990940094
10.5281/zenodo.17586163,Theoretical computer science,1,0.33959999680519104
10.5281/zenodo.17586163,Abductive reasoning,2,0.32989999651908875
10.5281/zenodo.17586163,Belief revision,2,0.3287999927997589
10.5281/zenodo.17586163,Circumscription,2,0.3240000009536743
10.5281/zenodo.17586163,Probabilistic logic network,5,0.3163999915122986
10.5281/zenodo.17586163,Context (archaeology),2,0.3100000023841858
10.5281/zenodo.17586163,Construct (python library),2,0.30550000071525574
10.5281/zenodo.17586163,Model checking,2,0.29739999771118164
10.5281/zenodo.17586163,Dynamic logic (digital electronics),4,0.29679998755455017
10.5281/zenodo.17586163,Natural language processing,1,0.29589998722076416
10.5281/zenodo.17586163,Temporal logic of actions,4,0.2858000099658966
10.5281/zenodo.17586163,Autoepistemic logic,4,0.28540000319480896
10.5281/zenodo.17586163,Contextual design,3,0.2840000092983246
10.5281/zenodo.17586163,Semantics (computer science),2,0.2750000059604645
10.5281/zenodo.17586163,Epistemology,1,0.2709999978542328
10.5281/zenodo.17586163,Computer security model,2,0.27070000767707825
10.5281/zenodo.17586163,Multimodal logic,3,0.26350000500679016
10.5281/zenodo.17586185,Humanities,1,0.477400004863739
10.5281/zenodo.17586185,Sociology,0,0.3490000069141388
10.5281/zenodo.17586185,Political science,0,0.2849999964237213
10.5281/zenodo.17586185,Context (archaeology),2,0.257099986076355
10.5281/zenodo.17586185,Art,0,0.2280000001192093
10.5281/zenodo.17586185,Philosophy,0,0.21240000426769257
10.5281/zenodo.17586185,Social dynamics,2,0.21080000698566437
10.5281/zenodo.17586185,Work (physics),2,0.20819999277591705
10.5281/zenodo.17586185,Geography,0,0.17839999496936798
10.5281/zenodo.17586185,Narrative,2,0.16930000483989716
10.5281/zenodo.17459985,Humanities,1,0.42739999294281006
10.5281/zenodo.17459985,Welfare economics,1,0.40400001406669617
10.5281/zenodo.17459985,Political science,0,0.28060001134872437
10.5281/zenodo.17459985,Philosophy,0,0.2696000039577484
10.5281/zenodo.17459985,Cartography,1,0.2630000114440918
10.5281/zenodo.17459985,Psychology,0,0.25589999556541443
10.5281/zenodo.17459985,Decision tree,2,0.23119999468326569
10.5281/zenodo.17459985,Geography,0,0.22669999301433563
10.5281/zenodo.17459985,Computer science,0,0.22540000081062317
10.5281/zenodo.17459985,Business intelligence,2,0.20669999718666077
10.5281/zenodo.17586150,Computer science,0,0.4287000000476837
10.5281/zenodo.17586150,Humanities,1,0.4260999858379364
10.5281/zenodo.17586150,Philosophy,0,0.23589999973773956
10.5281/zenodo.17586150,Mathematics,0,0.22310000658035278
10.5281/zenodo.17586150,Data collection,2,0.21220000088214874
10.5281/zenodo.17586150,Homogeneous,2,0.19609999656677246
10.5281/zenodo.17586150,Political science,0,0.17919999361038208
10.5281/zenodo.17586150,Maximization,2,0.17329999804496765
10.5281/zenodo.17586150,Sample (material),2,0.1712999939918518
10.5281/zenodo.17586150,Geography,0,0.17100000381469727
10.5281/zenodo.17586126,Computer science,0,0.5612999796867371
10.5281/zenodo.17586126,Materiality (auditing),2,0.46209999918937683
10.5281/zenodo.17586126,Graph,2,0.3984000086784363
10.5281/zenodo.17586126,Performative utterance,2,0.37049999833106995
10.5281/zenodo.17586126,Graph theory,2,0.36480000615119934
10.5281/zenodo.17586126,Iterated function,2,0.33489999175071716
10.5281/zenodo.17586126,Geography,0,0.32510000467300415
